"Education and social work";"Éducation et travail social";"Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques"
"Communications, media studies, gender studies, library and information science, related fields";"Communications, études médiatiques, études de genre, bibliothéconomie et sciences de l'information, domaines connexes";"High-tech paper: Security printing and the aesthetics of trust"
"Systems & Circuits Neurosciences";"Systèmes et circuits en neurosciences";"Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers"
"Social & Developmental Aspects of Children's & Youth's Health";"Aspects sociaux et développementaux de la santé de l'enfant et de l'adolescent";"Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being"
"Chemistry";"Chimie";"Programmable DNA-based switches and nanomachines for sensing and drug delivery applications"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Interactions between attention, perception and reaching movements"
"Computer Science";"Sciences informatiques";"Design and Management of Fog Networks"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Polymer Porous Fibrous Structures with Antiviral Properties"
"Multidisciplinary or interdisciplinary humanities";"Sciences humaines multi- ou interdisciplinaires";"L'art Noir: cartographies for an emerging field"
"";"";"System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders"
"";"";"Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE)"
"Philosophy, medieval studies, classics, religious";"Philosophie, études classiques, religieuses et médiévales";"Tenrikyo and the Rise and Fall of New Religions in Japan"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Systems biology of size control in eukaryotes"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution"
"Cell Biology – Disease";"Biologie cellulaire – Maladie";"Neural repair in glaucoma: the role of insulin signaling"
"";"";"Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes"
"Education and social work";"Éducation et travail social";"Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse"
"Physics";"Physique";"Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis"
"";"";"Fully-Lagrangian three-dimensional modelling of river ice jam initiation"
"Political science and public administration";"Science politique et administration publique";"Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada"
