"Education and social work";"Éducation et travail social";"Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques"
"Communications, media studies, gender studies, library and information science, related fields";"Communications, études médiatiques, études de genre, bibliothéconomie et sciences de l'information, domaines connexes";"High-tech paper: Security printing and the aesthetics of trust"
"Systems & Circuits Neurosciences";"Systèmes et circuits en neurosciences";"Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers"
"Social & Developmental Aspects of Children's & Youth's Health";"Aspects sociaux et développementaux de la santé de l'enfant et de l'adolescent";"Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being"
"Chemistry";"Chimie";"Programmable DNA-based switches and nanomachines for sensing and drug delivery applications"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Interactions between attention, perception and reaching movements"
"Computer Science";"Sciences informatiques";"Design and Management of Fog Networks"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Polymer Porous Fibrous Structures with Antiviral Properties"
"Multidisciplinary or interdisciplinary humanities";"Sciences humaines multi- ou interdisciplinaires";"L'art Noir: cartographies for an emerging field"
"";"";"System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders"
"";"";"Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE)"
"Philosophy, medieval studies, classics, religious";"Philosophie, études classiques, religieuses et médiévales";"Tenrikyo and the Rise and Fall of New Religions in Japan"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Systems biology of size control in eukaryotes"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution"
"Cell Biology – Disease";"Biologie cellulaire – Maladie";"Neural repair in glaucoma: the role of insulin signaling"
"";"";"Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes"
"Education and social work";"Éducation et travail social";"Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse"
"Physics";"Physique";"Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis"
"";"";"Fully-Lagrangian three-dimensional modelling of river ice jam initiation"
"Political science and public administration";"Science politique et administration publique";"Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders"
"";"";"Biophysical and genetic control of root growth"
"";"";"Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions"
"Physics";"Physique";"Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications"
"";"";"La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur"
"";"";"Interdisciplinary Canadian Collaborative ME Research Network"
"Political science and public administration";"Science politique et administration publique";"La nouvelle politique de la redistribution"
"Cardiovascular System – Vascular System";"Système cardiovasculaire - Système vasculaire";"Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease"
"";"";"Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Histone protein supply and demand: life on a knife's edge"
"Mathematics and Statistics";"Mathématiques et statistique";"Bayesian deep-learning prediction with sparse graphs"
"History";"Histoire";"At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development"
"Mathematics and Statistics";"Mathématiques et statistique";"Random walks on random graphs in high dimensions"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Roles, mechanisms of action and regulation of Hippo signaling in the testis"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"The role of the TGFB-SOX9 signaling pathway in brain angiogenesis"
"";"";"A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders"
"Education and social work";"Éducation et travail social";"Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage"
"";"";"Impact of insects by-products and phytogenics on the piglet's intestinal health"
"Geosciences";"Géosciences";"Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections"
"";"";"Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions"
"Geography, urban planning and related fields";"Géographie, urbanisme et domaines connexes";"Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles"
"";"";"Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles)"
"";"";"Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale"
"";"";"The ethical challenges of Artificial Intelligence for start-ups"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Integrating impacts from marine plastics in Life Cycle Assessment"
"";"";"A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering"
"Indigenous research";"Études autochtones";"Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé"
"";"";"Pathways for the digital economy: Adolescent digital literacies and InstaPoetry"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Bilingualism and attentional processes in the age and language proficiency continuum"
;;"Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra"
"Fine Arts, Research-Creation";"Beaux-arts, recherche-création";"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Advancing the understanding of fundamental principles of motor control"
;;"Impact Award: Insight"
"Chemistry";"Chimie";"New Methods for the Stereoselective Synthesis of Organic Compounds"
"Fine Arts, Research-Creation";"Beaux-arts, recherche-création";"Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui"
"Fine Arts, Research-Creation";"Beaux-arts, recherche-création";"Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Multimode determination of gene transcription and metabolic labeling"
;;"SLAMF7 in innate immune cells and anti-cancer immunotherapy"
"Literature";"Études littéraires";"À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945"
;;"Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury"
"Education";"Éducation";"Local intersectoral networks and institutional transformations: how can local actors promote social innovations?"
;;"Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Developing algorithm aided fabrication methods for polyhedral structures"
"Virology & Viral Pathogenesis";"Virologie et pathogenèse virale";"SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions"
"Mathematics and Statistics";"Mathématiques et statistique";"Questions in number theory"
"Gender, Sex & Health";"Genre, sexe et santé";"The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage"
"Health Research Training Platform";"Plateforme de recherche de formation en santé";"The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform"
"Gender, Sex & Health";"Genre, sexe et santé";"Life course body fatness and physical activity, and ovarian cancer etiology"
"Behavioural Sciences – Neurobiological Basis of Behavioural Processes";"Sciences comportementales - Fondements neurologiques des processus comportementaux";"Modeling cue-triggered relapse to cocaine use in rats"
;;"Exploring emotional underpinnings of audit work amidst the rise of the digital age"
;;"Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme"
"Physics";"Physique";"Development of functional language brain networks: a multimodal neuroimaging approach"
"Philosophy, medieval studies, classics, religious";"Philosophie, études classiques, religieuses et médiévales";"Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque"
"Social Innovation";"Innovation sociale";"Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring"
"Clinical Investigation – Reproduction, Maternal, Child and Youth Health";"Études cliniques - Reproduction, santé des jeunes, de la mère et de l'enfant";"Assessment of renal function in adults born preterm: The HAPI-Kidney study"
;;"Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health"
;;"Optimizing the Ageing Brain? Situating Ethical Aspects of Dementia Prevention (BEAD)"
;;"Multicommunicating during team meetings and its effect on team functioning"
"Psychology";"Psychologie";"Transitioning from late adolescence into emerging adulthood: The role of past and current parenting"
"Mechanical Engineering";"Génie mécanique";"Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants"
;;"How Peers in Healthcare Teams Transform Homelessness Prevention and Care Practices: A Participatory Multiple Case Study"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Online stochastic optimization for dynamic operations management systems"
"Computer Science";"Sciences informatiques";"Assessing latent-structure models in natural language processing with artificial datasets"
